CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,CH 11,CH 12,Suhu,Debit
0,0,0,0,0,0,0,0,0,0,0,0,27.1,4.59
0,0,0,0,0,0,0,0,0,0,0,0,27.7,5.563
0,0,0,0,0,0,0,0,0,0,0,0,27.7,5.278
0,0,0,0,0,0,0,0,0,0,0,0,26.8,5.517
0,4,0,0,0,0,0,0,4,5,0,0,28.1,5.819
0,9,0,0,0,0,0,0,6,0,0,0,27.4,6.091
0,0,0,0,0,0,0,0,0,0,0,0,27.6,6.151
0,0,4,0,0,0,0,0,0,0,0,0,27.8,6.041
0,0,0,0,0,0,0,0,0,0,0,0,27.8,5.717
0,0,0,0,0,0,0,0,0,0,0,0,27.8,5.548
0,0,0,0,0,0,0,0,0,0,0,0,28.5,6.146
0,0,0,0,0,0,0,0,0,0,0,0,28.9,5.545
0,0,0,0,0,0,0,0,0,0,0,0,29.1,5.039
0,0,0,0,0,0,0,0,0,0,0,0,28.8,4.542
0,0,0,0,0,0,0,0,0,0,0,0,28.1,3.184
0,0,0,0,0,0,0,0,0,7,0,0,28.1,3.654
0,0,0,0,0,0,0,0,0,0,0,0,27.6,3.112
0,0,0,0,0,0,0,0,0,0,0,0,28,3.639
0,0,0,0,0,0,0,0,0,0,0,0,27.2,2.741
0,0,0,0,0,0,0,0,0,0,0,0,27.6,2.989
0,0,0,0,0,0,0,0,0,0,0,0,27.6,2.26
0,12,5,15,9,10,0,0,6,0,0,0,28.1,2.706
0,14,20,11,11,13,0,0,14,5,0,13,27.6,6.58
6,13,7,8,7,9,10,5,3,8,35,45,27.9,10.705
14,9,18,6,6,8,13,11,5,76,20,30,27.1,15.321
9,10,12,7,2,9,18,17,8,53,11,50,26.8,16.749
0,20,14,10,6,0,15,0,21,14,0,0,28,22.027
0,12,20,0,29,0,19,0,0,12,0,8,28.2,11.05841
18,11,13,21,0,0,17,0,17,7,0,0,28.1,16.63
0,0,11,16,0,0,18,15,22,0,0,0,27.7,20.729
0,4,10,13,7,0,25,0,13,24,32,7,27.5,24.222
19,0,8,0,0,0,19,22,19,0,0,23,28.1,24.976
0,2,9,26,4,0,0,0,25,89,22,2,28.2,46.262
21,29,8,0,12,55,23,0,22,9,0,8,27.8,23.412
0,0,10,29,65,15,0,0,10,25,0,24,27.3,15.779
0,0,4,0,0,0,0,0,7,0,0,0,27.6,11.097
35,18,4,20,22,13,0,0,12,11,2,14,28.3,19.767
0,27,6,19,31,24,28,0,3,8,8,0,28.1,16.413
35,10,8,5,15,7,11,0,0,29,5,22,28.6,20.469
0,12,6,7,19,8,19,20,9,6,0,0,28.8,15.453
0,0,10,0,2,0,0,15,2,10,2,16,28.6,30.512
0,29,4,7,24,22,0,0,5,17,6,14,27.7,18.619
16,4,20,0,1,2,10,35,0,0,7,0,28,24.733
0,2,0,0,0,2,22,0,0,12,1,0,27.9,34.674
0,32,10,10,54,30,0,0,9,22,1,0,27.1,42.773
0,4,23,11,3,3,30,0,6,34,27,0,26.8,54.825
11,95,61,98,97,83,15,0,97,35,24,18,27.7,146.647
0,26,57,28,0,0,19,15,12,4,0,0,27.5,135.399
0,81,83,11,56,70,17,0,20,9,0,0,26.5,57.16
35,11,0,21,10,0,18,40,17,0,8,6,28.2,123.945
22,91,23,41,72,60,25,25,37,85,12,7,27.8,126.67
9,58,20,39,44,50,19,10,20,15,26,18,27.3,124.526
19,52,18,60,53,40,0,17,12,5,0,0,27.5,77.747
0,1,2,8,0,0,23,0,3,12,0,0,28.7,45.517
