Tanggal,Curah Hujan,Suhu,Debit
07/07/2015,0,26.9,13.55754
08/07/2015,0.033593,27,7.285
09/07/2015,8.032359,26.2,51.88333
10/07/2015,2.230372,26.5,28.7418
11/07/2015,0,27.1,11.359
12/07/2015,0,27.5,12.21654
13/07/2015,0,28.1,9.826468
14/07/2015,0,27.6,6.234
15/07/2015,1.192677,26,22.55837
16/07/2015,0,26.9,6.072
17/07/2015,0,28.3,12.52981
18/07/2015,0,27.1,13.61584
19/07/2015,0,27.7,12.06264
20/07/2015,0,27.7,6.902
21/07/2015,0,26.8,6.936
22/07/2015,0,28.2,11.39025
23/07/2015,0,27.4,11.08842
24/07/2015,0,27.6,13.02699
25/07/2015,0.184763,27.8,6.637
26/07/2015,3.520771,27.8,6.767
27/07/2015,0,27.8,11.10507
28/07/2015,0,28.5,10.0099
29/07/2015,0.660846,28.9,6.725
30/07/2015,0,29.1,11.31769
31/07/2015,0,28.8,9.762332
01/08/2015,0,28.1,13.19251
02/08/2015,0,28.1,11.41276
03/08/2015,0,25.7,5.733
04/08/2015,0,23.4,5.65
05/08/2015,0,26.6,13.2978
06/08/2015,0,27,5.72
07/08/2015,0,26.9,13.51271
08/08/2015,0,27,5.916
09/08/2015,0,26.2,11.82295
10/08/2015,0.99907,26.5,20.82614
11/08/2015,0.117379,27.1,13.44224
12/08/2015,0,27.6,4.737
13/08/2015,0,28.1,5.58
14/08/2015,0,27.6,5.463
15/08/2015,0,26,14.91875
16/08/2015,0,26.9,12.21723
17/08/2015,0,28.3,12.05834
18/08/2015,0,27.1,4.872
19/08/2015,0,27.7,13.83663
20/08/2015,0,27.7,3.319
21/08/2015,0,26.8,3.611
22/08/2015,0,28.1,11.15611
23/08/2015,31.51118,27.4,103.391
24/08/2015,0,27.6,12.09296
25/08/2015,0,27.8,12.68777
26/08/2015,0,27.8,3.668
27/08/2015,0,27.8,3.23
28/08/2015,0,28.5,3.651
29/08/2015,0,28.9,3.426
30/08/2015,0,29.1,12.18362
31/08/2015,0,28.8,12.5166
01/09/2015,0,28.1,9.121109
02/09/2015,0,28.1,3.269
03/09/2015,0,27.7,12.52143
04/09/2015,0,27.5,3.28
05/09/2015,0,28.1,3.395
06/09/2015,0,28.2,3.053
07/09/2015,0,27.8,3.142
08/09/2015,0,27.3,3.057
09/09/2015,0,27.6,12.7813
10/09/2015,0,28.3,11.09961
11/09/2015,0,28.1,2.739
12/09/2015,0,27.6,2.764
13/09/2015,0,27.2,2.64
14/09/2015,0,26.8,13.70502
15/09/2015,0,28.1,10.97991
16/09/2015,0,27.1,2.456
17/09/2015,0,27.5,11.87361
18/09/2015,0,27.6,10.7216
19/09/2015,0,27.1,1.783
20/09/2015,0,27.8,1.867
21/09/2015,0,27.7,1.814
22/09/2015,0,28.1,1.781
23/09/2015,0,27.1,12.15334
24/09/2015,0,26.5,13.26891
25/09/2015,0,26.9,14.71873
26/09/2015,0,28.3,13.01698
27/09/2015,0,28.8,12.62375
28/09/2015,0,27.3,12.80854
29/09/2015,0,28.2,1.531
30/09/2015,0,28,13.77412
01/10/2015,0,27.5,12.46705
02/10/2015,0,27.8,1.668
03/10/2015,0,25.7,12.5664
04/10/2015,0,23.4,11.41641
05/10/2015,0,26.6,12.42936
06/10/2015,0,27,11.28564
07/10/2015,0,26.9,1.863
08/10/2015,0,27,14.28881
09/10/2015,0,26.2,9.860468
10/10/2015,0,26.5,12.14156
11/10/2015,0,27.1,3.753
12/10/2015,0,27.6,4.205
13/10/2015,0,28.1,2.191
14/10/2015,0,27.6,12.88667
15/10/2015,0,26,2.214
16/10/2015,0,26.9,2.584
17/10/2015,0,28.3,2.893
18/10/2015,0,27.1,13.11218
19/10/2015,0,27.7,12.06899
20/10/2015,0,27.7,11.4282
21/10/2015,0,26.8,12.32471
22/10/2015,0.65249,28.1,17.32958
23/10/2015,0.341385,27.4,2.168
24/10/2015,0,27.6,2.204
25/10/2015,0.117379,27.8,12.49813
26/10/2015,0,27.8,13.75582
27/10/2015,0,27.8,10.67198
28/10/2015,0,28.5,12.65455
29/10/2015,0,28.9,11.4705
30/10/2015,0,29.1,2.122
31/10/2015,0,28.8,13.37537
01/11/2015,0,28.1,1.845
02/11/2015,0.701069,28.1,18.40739
03/11/2015,0,27.6,1.937
04/11/2015,0,28,11.93346
05/11/2015,0,27.2,12.58578
06/11/2015,0,27.6,1.47
07/11/2015,0,27.6,1.605
08/11/2015,1.968382,28.1,12.392
09/11/2015,1.782243,27.6,27.51727
10/11/2015,8.409425,27.9,55.11576
11/11/2015,1.312926,27.1,9.456
12/11/2015,1.498692,26.8,26.25946
13/11/2015,0.943019,28,19.79122
14/11/2015,0.784397,28.2,20.244
15/11/2015,1.802807,28.1,11.135
16/11/2015,2.477114,27.7,9.068
17/11/2015,1.49048,27.5,6.271
18/11/2015,0.400431,28.1,15.36579
19/11/2015,3.65358,28.2,36.65456
20/11/2015,0.683751,27.8,6.766
21/11/2015,3.149429,27.3,5.137
22/11/2015,1.99728,27.6,27.56787
23/11/2015,2.418932,28.3,32.18961
24/11/2015,2.052058,28.1,6.083
25/11/2015,0.9083,28.6,3.892
26/11/2015,0.912114,28.8,21.19357
27/11/2015,0.32182,28.6,4.473
28/11/2015,1.149555,27.7,7.38041
29/11/2015,0.359626,28,15.47605
30/11/2015,0.049364,27.9,4.90741
01/12/2015,2.257542,27.1,28.39569
